familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
chi2,3,10,10000,0.3099,0.2864,0.2134,0.0986,NA,0.265,0.3095,0.2587,0.1718,0.1698,0.2875,0,0,0,0,10000,0,0,0,0,0,0,84.226003408432
chi2,3,25,10000,0.7785,0.7049,0.5044,0.4684,0.5695,0.647,0.7387,0.5402,0.3257,0.3567,0.7211,0,0,0,0,0,0,0,0,0,0,0,84.38349390029907
chi2,3,50,10000,0.9877,0.9661,0.8279,0.8622,0.8833,0.9322,0.9789,0.8556,0.516,0.7133,0.9668,0,0,0,0,0,0,0,0,0,0,0,81.89728689193726
chi2,3,100,10000,1,0.9999,0.9925,0.9985,0.9989,0.9993,1,0.9953,0.7623,0.9763,0.9998,0,0,0,0,0,0,0,0,0,0,0,78.15386056900024
chi2,3,250,10000,1,1,1,1,1,1,1,1,0.9748,1,1,0,0,0,0,0,0,0,0,0,0,0,88.389652967453
chi2,3,500,10000,1,1,1,1,1,1,1,1,0.9998,1,1,0,0,0,0,0,0,0,0,0,0,0,103.3331573009491
chi2,6,10,10000,0.1719,0.1609,0.1291,0.0543,NA,0.147,0.1777,0.1392,0.112,0.1343,0.1685,0,0,0,0,10000,0,0,0,0,0,0,81.37324929237366
chi2,6,25,10000,0.4704,0.4006,0.2795,0.2792,0.3683,0.3598,0.4436,0.231,0.1996,0.2416,0.4459,0,0,0,0,0,0,0,0,0,0,0,83.72345209121704
chi2,6,50,10000,0.8211,0.7173,0.5111,0.6042,0.6526,0.6509,0.7845,0.3934,0.3245,0.4529,0.7755,0,0,0,0,0,0,0,0,0,0,0,79.4987096786499
chi2,6,100,10000,0.9918,0.9626,0.829,0.9419,0.9489,0.9307,0.9859,0.7144,0.4988,0.7934,0.9818,0,0,0,0,0,0,0,0,0,0,0,76.42887449264526
chi2,6,250,10000,1,1,0.9976,1,1,0.9999,1,0.9939,0.7969,0.9949,1,0,0,0,0,0,0,0,0,0,0,0,82.14158296585083
chi2,6,500,10000,1,1,1,1,1,1,1,1,0.9657,1,1,0,0,0,0,0,0,0,0,0,0,0,100.76191854476929
chi2,9,10,10000,0.1283,0.1199,0.0981,0.0376,NA,0.1107,0.1373,0.114,0.0881,0.1185,0.1319,0,0,0,0,10000,0,0,0,0,0,0,76.58557367324829
chi2,9,25,10000,0.3289,0.2807,0.2034,0.2015,0.2808,0.2558,0.3181,0.1688,0.1611,0.1912,0.3261,0,0,0,0,0,0,0,0,0,0,0,79.89212656021118
chi2,9,50,10000,0.6413,0.5267,0.3649,0.4571,0.512,0.4657,0.6054,0.2396,0.2423,0.3239,0.6156,0,0,0,0,0,0,0,0,0,0,0,76.31516814231873
chi2,9,100,10000,0.9295,0.8488,0.6536,0.8279,0.8405,0.7862,0.9107,0.4398,0.3624,0.6097,0.9135,0,0,0,0,0,0,0,0,0,0,0,74.33952140808105
chi2,9,250,10000,0.9999,0.9988,0.971,0.9996,0.9997,0.996,0.9998,0.8946,0.6197,0.9501,0.9998,0,0,0,0,0,0,0,0,0,0,0,82.73960947990417
chi2,9,500,10000,1,1,0.9998,1,1,1,1,0.9993,0.865,0.9998,1,0,0,0,0,0,0,0,0,0,0,0,96.16551327705383
chi2,12,10,10000,0.1067,0.1019,0.0868,0.0313,NA,0.0962,0.1154,0.1025,0.0752,0.1132,0.1068,0,0,0,0,10000,0,0,0,0,0,0,77.34634447097778
chi2,12,25,10000,0.2624,0.2128,0.153,0.1631,0.2321,0.1894,0.2551,0.1236,0.1326,0.1512,0.2603,0,0,0,0,0,0,0,0,0,0,0,82.26909756660461
chi2,12,50,10000,0.5129,0.4049,0.2715,0.3627,0.414,0.3533,0.484,0.1681,0.2006,0.2585,0.4945,0,0,0,0,0,0,0,0,0,0,0,83.49842262268066
chi2,12,100,10000,0.8366,0.7211,0.5214,0.7041,0.7251,0.6508,0.8072,0.3121,0.2877,0.4724,0.8193,0,0,0,0,0,0,0,0,0,0,0,80.5864188671112
chi2,12,250,10000,0.999,0.9885,0.904,0.9955,0.9959,0.9712,0.998,0.7311,0.4947,0.8696,0.998,0,0,0,0,0,0,0,0,0,0,0,89.6570508480072
chi2,12,500,10000,1,1,0.998,1,1,0.9999,1,0.9799,0.7332,0.9934,1,0,0,0,0,0,0,0,0,0,0,0,104.95905947685242
chi2,15,10,10000,0.0941,0.0912,0.0773,0.0262,NA,0.0847,0.0973,0.0878,0.0689,0.112,0.0896,0,0,0,0,10000,0,0,0,0,0,0,84.0777645111084
chi2,15,25,10000,0.2189,0.1829,0.1303,0.1351,0.1997,0.1649,0.2141,0.1148,0.1154,0.1441,0.2172,0,0,0,0,0,0,0,0,0,0,0,81.84162282943726
chi2,15,50,10000,0.4256,0.3421,0.2373,0.3044,0.3569,0.2982,0.4067,0.1431,0.1711,0.2229,0.4171,0,0,0,0,0,0,0,0,0,0,0,75.91907930374146
chi2,15,100,10000,0.7411,0.6142,0.4242,0.6053,0.6346,0.544,0.7067,0.2352,0.2481,0.3789,0.7324,0,0,0,0,0,0,0,0,0,0,0,74.10586190223694
chi2,15,250,10000,0.9921,0.96,0.8188,0.9809,0.9814,0.9247,0.9877,0.5844,0.4127,0.7632,0.9908,0,0,0,0,0,0,0,0,0,0,0,84.43663120269775
chi2,15,500,10000,1,1,0.9886,1,1,0.9992,1,0.921,0.6323,0.9726,1,0,0,0,0,0,0,0,0,0,0,0,101.27679514884949
chi2,18,10,10000,0.0838,0.0793,0.0747,0.0218,NA,0.0755,0.0906,0.0843,0.0618,0.1167,0.0851,0,0,0,0,10000,0,0,0,0,0,0,82.07130169868469
chi2,18,25,10000,0.1843,0.1566,0.1197,0.1183,0.1774,0.1446,0.1848,0.1024,0.1046,0.1407,0.1866,0,0,0,0,0,0,0,0,0,0,0,82.27058792114258
chi2,18,50,10000,0.3648,0.2857,0.2,0.2594,0.3119,0.2531,0.3466,0.118,0.1492,0.1922,0.3573,0,0,0,0,0,0,0,0,0,0,0,81.58078837394714
chi2,18,100,10000,0.6531,0.5197,0.3601,0.5209,0.5539,0.4563,0.6199,0.1921,0.2099,0.3238,0.6455,0,0,0,0,0,0,0,0,0,0,0,79.10774493217468
chi2,18,250,10000,0.9767,0.9186,0.7509,0.9537,0.9557,0.8724,0.9674,0.4739,0.356,0.6811,0.9751,0,0,0,0,0,0,0,0,0,0,0,86.94151401519775
chi2,18,500,10000,0.9999,0.9986,0.9663,0.9998,0.9998,0.9954,0.9998,0.8351,0.5382,0.9327,0.9998,0,0,0,0,0,0,0,0,0,0,0,100.43805718421936
