familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
lognormal,0.16666666666666666,10,10000,0.6081,0.582,0.4642,0.2864,NA,0.5575,0.5995,0.5412,0.3582,0.2129,0.5648,0,0,0,0,10000,0,0,0,0,0,0,73.2446756362915
lognormal,0.16666666666666666,25,10000,0.9736,0.9568,0.8706,0.8315,0.8778,0.9396,0.9654,0.8963,0.6722,0.3778,0.9563,0,0,0,0,0,0,0,0,0,0,0,75.39832997322083
lognormal,0.16666666666666666,50,10000,1,0.9996,0.9943,0.9945,0.9958,0.9993,0.9999,0.9967,0.9076,0.7147,0.9996,0,0,0,0,0,0,0,0,0,0,0,72.48052740097046
lognormal,0.16666666666666666,100,10000,1,1,1,1,1,1,1,1,0.9943,0.9757,1,0,0,0,0,0,0,0,0,0,0,0,71.7245717048645
lognormal,0.16666666666666666,250,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,78.58200979232788
lognormal,0.16666666666666666,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,95.07298803329468
lognormal,0.3333333333333333,10,10000,0.495,0.4697,0.367,0.2206,NA,0.4452,0.4915,0.4286,0.2937,0.1611,0.4658,0,0,0,0,10000,0,0,0,0,0,0,71.73354482650757
lognormal,0.3333333333333333,25,10000,0.9333,0.9048,0.7728,0.7518,0.8135,0.8775,0.9194,0.7967,0.5949,0.3286,0.9094,0,0,0,0,0,0,0,0,0,0,0,75.4042739868164
lognormal,0.3333333333333333,50,10000,0.9994,0.9973,0.9732,0.9821,0.9856,0.9944,0.9986,0.9751,0.8353,0.7096,0.9975,0,0,0,0,0,0,0,0,0,0,0,70.49022889137268
lognormal,0.3333333333333333,100,10000,1,1,1,1,1,1,1,1,0.9784,0.9877,1,0,0,0,0,0,0,0,0,0,0,0,69.80248403549194
lognormal,0.3333333333333333,250,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75.60523891448975
lognormal,0.3333333333333333,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,92.29622769355774
lognormal,0.5,10,10000,0.3645,0.3462,0.2684,0.1566,NA,0.3242,0.3675,0.3033,0.2295,0.1231,0.3502,0,0,0,0,10000,0,0,0,0,0,0,69.93246483802795
lognormal,0.5,25,10000,0.8322,0.7768,0.6089,0.6053,0.6888,0.7319,0.8081,0.5893,0.4555,0.2957,0.8013,0,0,0,0,0,0,0,0,0,0,0,72.62056803703308
lognormal,0.5,50,10000,0.9913,0.9779,0.9007,0.9367,0.9473,0.9615,0.9859,0.873,0.7127,0.6473,0.9839,0,0,0,0,0,0,0,0,0,0,0,70.71099543571472
lognormal,0.5,100,10000,1,0.9999,0.9964,0.9997,0.9997,0.9997,1,0.996,0.9241,0.9762,1,0,0,0,0,0,0,0,0,0,0,0,67.71340799331665
lognormal,0.5,250,10000,1,1,1,1,1,1,1,1,0.9988,1,1,0,0,0,0,0,0,0,0,0,0,0,76.1772518157959
lognormal,0.5,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,91.22855019569397
lognormal,0.6666666666666666,10,10000,0.2423,0.2275,0.1789,0.0927,NA,0.2118,0.2518,0.1911,0.1603,0.0931,0.2442,0,0,0,0,10000,0,0,0,0,0,0,67.79665637016296
lognormal,0.6666666666666666,25,10000,0.6418,0.5652,0.4059,0.4305,0.523,0.5169,0.6172,0.3502,0.3218,0.2317,0.6184,0,0,0,0,0,0,0,0,0,0,0,72.0733323097229
lognormal,0.6666666666666666,50,10000,0.922,0.8692,0.7056,0.7931,0.8188,0.8242,0.902,0.5873,0.5242,0.5052,0.9048,0,0,0,0,0,0,0,0,0,0,0,70.05832719802856
lognormal,0.6666666666666666,100,10000,0.9982,0.994,0.9475,0.9893,0.9908,0.9868,0.9974,0.8914,0.7611,0.8914,0.9975,0,0,0,0,0,0,0,0,0,0,0,68.1582624912262
lognormal,0.6666666666666666,250,10000,1,1,1,1,1,1,1,0.9998,0.9747,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,76.10990762710571
lognormal,0.6666666666666666,500,10000,1,1,1,1,1,1,1,1,0.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,94.26459383964539
lognormal,0.8333333333333334,10,10000,0.1348,0.1282,0.1026,0.0453,NA,0.1211,0.143,0.1136,0.0991,0.0892,0.1351,0,0,0,0,10000,0,0,0,0,0,0,69.90084934234619
lognormal,0.8333333333333334,25,10000,0.3596,0.305,0.2214,0.2436,0.3224,0.2729,0.3525,0.1689,0.194,0.1599,0.3587,0,0,0,0,0,0,0,0,0,0,0,73.86865425109863
lognormal,0.8333333333333334,50,10000,0.6522,0.5555,0.3972,0.5063,0.5562,0.5014,0.6315,0.2408,0.2956,0.2968,0.6418,0,0,0,0,0,0,0,0,0,0,0,70.42933630943298
lognormal,0.8333333333333334,100,10000,0.9309,0.8614,0.6884,0.8544,0.8668,0.8075,0.9144,0.4566,0.462,0.5814,0.9234,0,0,0,0,0,0,0,0,0,0,0,67.7970769405365
lognormal,0.8333333333333334,250,10000,1,0.9986,0.9783,0.9993,0.9994,0.9964,0.9998,0.8932,0.7665,0.9444,0.9995,0,0,0,0,0,0,0,0,0,0,0,73.99856758117676
lognormal,0.8333333333333334,500,10000,1,1,1,1,1,1,1,0.9986,0.9519,0.9992,1,0,0,0,0,0,0,0,0,0,0,0,89.12137484550476
lognormal,1,10,10000,0.0691,0.0671,0.0595,0.0165,NA,0.064,0.0745,0.0811,0.0515,0.0946,0.0688,0,0,0,0,10000,0,0,0,0,0,0,69.0454170703888
lognormal,1,25,10000,0.1329,0.1098,0.0858,0.0894,0.1386,0.1002,0.1362,0.0823,0.0912,0.1095,0.1356,0,0,0,0,0,0,0,0,0,0,0,73.49459981918335
lognormal,1,50,10000,0.2227,0.1735,0.1276,0.1752,0.2137,0.1558,0.2232,0.0846,0.1145,0.1245,0.2274,0,0,0,0,0,0,0,0,0,0,0,70.91105031967163
lognormal,1,100,10000,0.424,0.3226,0.2318,0.3564,0.3859,0.2847,0.4136,0.1186,0.1583,0.1848,0.4345,0,0,0,0,0,0,0,0,0,0,0,67.49758839607239
lognormal,1,250,10000,0.8082,0.6796,0.5023,0.7584,0.7687,0.6125,0.7891,0.2493,0.24,0.4003,0.826,0,0,0,0,0,0,0,0,0,0,0,76.35196161270142
lognormal,1,500,10000,0.984,0.9442,0.7944,0.9794,0.9801,0.9071,0.9801,0.4706,0.3721,0.686,0.9877,0,0,0,0,0,0,0,0,0,0,0,90.75115466117859
