familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,sstn_na,segundos
t_student,1,10,10000,0.585,0.6072,0.5758,0.4215,NA,0.607,0.6269,0.5284,0.5357,0.588,0,0,0,0,10000,0,0,0,0,0,42.378132581710815
t_student,1,25,10000,0.9263,0.9368,0.906,0.8957,0.9123,0.9346,0.943,0.8637,0.9013,0.9307,0,0,0,0,0,0,0,0,0,0,46.25489521026611
t_student,1,50,10000,0.997,0.9979,0.9937,0.9951,0.9942,0.9968,0.9985,0.9858,0.9946,0.9976,0,0,0,0,0,0,0,0,0,0,48.60911965370178
t_student,1,100,10000,1,1,1,1,1,1,1,0.9999,1,1,0,0,0,0,0,0,0,0,0,0,51.3771858215332
t_student,1,250,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,57.83531641960144
t_student,1,500,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,68.64985346794128
t_student,2,10,10000,0.292,0.2994,0.2638,0.1846,NA,0.2939,0.3314,0.2313,0.2808,0.3073,0,0,0,0,10000,0,0,0,0,0,41.59054350852966
t_student,2,25,10000,0.6107,0.6116,0.5176,0.5942,0.6394,0.5921,0.666,0.4253,0.6089,0.6343,0,0,0,0,0,0,0,0,0,0,44.90305852890015
t_student,2,50,10000,0.8645,0.8598,0.7824,0.8657,0.8602,0.8458,0.8936,0.6484,0.8566,0.8776,0,0,0,0,0,0,0,0,0,0,46.12407088279724
t_student,2,100,10000,0.9857,0.9849,0.9595,0.98740000000000006,0.9815,0.9819,0.9902,0.8831,0.9867,0.9876,0,0,0,0,0,0,0,0,0,0,48.9934983253479
t_student,2,250,10000,1,1,1,1,1,1,1,0.9981,1,1,0,0,0,0,0,0,0,0,0,0,57.34075307846069
t_student,2,500,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,69.03740930557251
t_student,3,10,10000,0.1939,0.1971,0.1647,0.1044,NA,0.1881,0.2262,0.1553,0.1861,0.2059,0,0,0,0,10000,0,0,0,0,0,41.26890707015991
t_student,3,25,10000,0.4117,0.3946,0.3081,0.3992,0.4527,0.3753,0.4668,0.2373,0.4071,0.4376,0,0,0,0,0,0,0,0,0,0,44.85214567184448
t_student,3,50,10000,0.6355,0.6031,0.4754,0.663,0.663,0.5686,0.6955,0.3303,0.6476,0.6608,0,0,0,0,0,0,0,0,0,0,45.9279305934906
t_student,3,100,10000,0.8768,0.8522,0.7396,0.8964,0.8777,0.8268,0.9077,0.5317,0.8864,0.8865,0,0,0,0,0,0,0,0,0,0,48.31203842163086
t_student,3,250,10000,0.9972,0.9948,0.9754,0.9977,0.9968,0.9918,0.9981,0.8684,0.9969,0.9975,0,0,0,0,0,0,0,0,0,0,55.92738437652588
