familia,parametro,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
beta,0.5,10,10000,0.2896,0.2537,0.1486,0.0038,NA,0.2181,0.1802,0.2242,0.1919,0.3743,0.1185,0,0,0,0,10000,0,0,0,0,0,0,116.72443199157716
beta,0.5,25,10000,0.8662,0.7593,0.4064,9e-4,0.7189,0.6314,0.6652,0.408,0.8106,0.9414,0.6628,0,0,0,0,0,0,0,0,0,0,0,117.76439642906188
beta,0.5,50,10000,0.9995,0.9913,0.8004,0.0302,0.996,0.9568,0.992,0.7179,0.9935,0.999,0.9857,0,0,0,0,0,0,0,0,0,0,0,110.70635199546814
beta,0.5,100,10000,1,1,0.9949,0.9993,1,1,1,0.9917,1,1,1,0,0,0,0,0,0,0,0,288,0,0,105.61535239219666
beta,0.5,250,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7243,0,0,116.3074026107788
beta,0.5,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9923,0,0,137.5419111251831
beta,0.5,1000,10000,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,10000,0,0,129.72635793685913
beta,0.5,1500,10000,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,10000,0,0,160.13732409477234
beta,1,10,10000,0.0841,0.0802,0.0629,0.0013,NA,0.0738,0.0518,0.0899,0.0708,0.2084,0.0417,0,0,0,0,10000,0,0,0,0,0,0,109.17562413215636
beta,1,25,10000,0.2835,0.2284,0.1211,1e-4,0.2699,0.1848,0.1214,0.1255,0.4436,0.6399,0.1857,0,0,0,0,0,0,0,0,0,0,0,112.2056143283844
beta,1,50,10000,0.7443,0.573,0.2517,5e-4,0.8016,0.4359,0.4712,0.1897,0.8867,0.896,0.5986,0,0,0,0,0,0,0,0,0,0,0,107.37893009185792
