subescala,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,sstn_na,segundos
dass_anxiety.csv,10,10000,0.084,0.082,0.0686,0.004,NA,0.0763,0.0623,0.0989,0.0583,0.052,0,0,0,0,10000,0,0,0,0,0,45.63242816925049
dass_anxiety.csv,25,10000,0.2732,0.2276,0.139,0.0063,0.1304,0.1971,0.1524,0.1577,0.2255,0.1866,0,0,0,0,0,0,0,0,0,0,48.86204695701599
dass_anxiety.csv,50,10000,0.6866,0.5458,0.2963,0.0115,0.4512,0.4333,0.4661,0.2802,0.5201,0.5196,0,0,0,0,0,0,0,0,0,0,50.28867244720459
dass_anxiety.csv,100,10000,0.9881,0.9236,0.6433,0.4528,0.9353,0.8242,0.9427,0.6542,0.8376,0.9055,0,0,0,0,0,0,0,0,0,0,52.83932113647461
dass_anxiety.csv,250,10000,1,1,0.9903,1,1,0.9995,1,0.997,0.9972,0.9999,0,0,0,0,0,0,0,0,0,0,60.28457713127137
dass_anxiety.csv,500,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,74.04750204086304
dass_anxiety.csv,1000,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,103.46750855445862
dass_anxiety.csv,1500,10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,130.11352491378784
dass_depression.csv,10,10000,0.0829,0.0799,0.0613,0.0014,NA,0.0733,0.0489,0.0875,0.0713,0.0384,0,0,0,0,10000,0,0,0,0,0,48.08076047897339
dass_depression.csv,25,10000,0.2871,0.2277,0.1137,2e-4,0.2648,0.1838,0.1218,0.1246,0.4337,0.1859,0,0,0,0,0,0,0,0,0,0,50.31749653816223
dass_depression.csv,50,10000,0.7466,0.5721,0.2558,2e-4,0.8025,0.4336,0.4747,0.1894,0.8897,0.5993,0,0,0,0,0,0,0,0,0,0,49.81274724006653
dass_depression.csv,100,10000,0.9959,0.9441,0.5931,0.5675,0.997,0.8398,0.9656,0.4605,0.9989,0.9529,0,0,0,0,0,0,0,0,0,0,51.8706271648407
