subescala,instrumento,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
dass_anxiety.csv,dass,39775,10,10000,0.0812,0.0793,0.0716,0.0082,NA,0.0773,0.0704,0.0917,0.0476,0.1762,0.0618,0,0,0,0,10000,0,0,0,0,0,0,79.85707974433899
dass_anxiety.csv,dass,39775,20,10000,0.1624,0.1463,0.1132,0.0161,0.0699,0.1354,0.1061,0.0938,0.0947,0.3281,0.125,0,0,0,0,0,0,0,0,0,0,0,81.80271577835083
dass_anxiety.csv,dass,39775,30,10000,0.2848,0.2403,0.1742,0.0201,0.109,0.2117,0.1775,0.1384,0.1404,0.4422,0.192,0,0,0,0,0,0,0,0,0,0,0,81.01869368553162
dass_anxiety.csv,dass,39775,140,10000,0.998,0.9678,0.8757,0.7739,0.9365,0.9039,0.9867,0.8182,0.5506,0.9596,0.9392,0,0,0,0,0,0,0,0,0,0,0,75.71821713447571
dass_anxiety.csv,dass,39775,280,10000,1,1,0.9988,0.9998,0.9999,0.9993,1,0.9999,0.846,0.9996,0.9997,0,0,0,0,0,0,0,0,0,0,0,82.62569332122803
dass_anxiety.csv,dass,39775,700,10000,1,1,1,1,1,1,1,1,0.9986,1,1,0,0,0,0,0,0,0,0,0,0,0,108.42435312271118
dass_anxiety.csv,dass,39775,1400,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,154.41591620445251
dass_depression.csv,dass,39775,10,10000,0.071,0.0698,0.0596,0.0014,NA,0.0633,0.0458,0.0819,0.0594,0.2324,0.0333,0,0,0,0,10000,0,0,0,0,0,0,81.51390862464905
dass_depression.csv,dass,39775,20,10000,0.1725,0.1486,0.0856,4e-4,0.1234,0.1239,0.071,0.0779,0.2589,0.5006,0.1085,0,0,0,0,0,0,0,0,0,0,0,83.10945773124695
dass_depression.csv,dass,39775,30,10000,0.3349,0.2485,0.1275,3e-4,0.337,0.1936,0.137,0.0986,0.5072,0.6603,0.207,0,0,0,0,0,0,0,0,0,0,0,82.65568542480469
dass_depression.csv,dass,39775,140,10000,1,0.9919,0.8229,0.9308,0.9999,0.9361,0.999,0.6581,1,0.9989,0.9881,0,0,0,0,0,0,0,0,0,0,0,78.18798923492432
dass_depression.csv,dass,39775,280,10000,1,1,0.9978,1,1,0.9999,1,0.9944,1,1,1,0,0,0,0,0,0,0,0,0,0,0,84.85924434661865
dass_depression.csv,dass,39775,700,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,110.53532075881958
dass_depression.csv,dass,39775,1400,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,160.21573519706726
dass_stress.csv,dass,39775,10,10000,0.0423,0.0453,0.0492,0.0022,NA,0.0457,0.0333,0.068,0.0311,0.1543,0.0266,0,0,0,0,10000,0,0,0,0,0,0,89.3697202205658
dass_stress.csv,dass,39775,20,10000,0.0573,0.06,0.0556,0.0013,0.0376,0.0566,0.0243,0.055,0.0996,0.2682,0.0402,0,0,0,0,0,0,0,0,0,0,0,86.51972842216492
dass_stress.csv,dass,39775,30,10000,0.087,0.0871,0.0716,4e-4,0.0896,0.0779,0.0317,0.0723,0.1948,0.3422,0.0603,0,0,0,0,0,0,0,0,0,0,0,84.42588877677917
dass_stress.csv,dass,39775,140,10000,0.8545,0.5882,0.4228,0.2038,0.8982,0.4395,0.5884,0.3015,0.956,0.8534,0.6017,0,0,0,0,0,0,0,0,0,0,0,80.90762710571289
dass_stress.csv,dass,39775,280,10000,1,0.9664,0.8479,0.9633,0.999,0.8654,0.9951,0.9139,0.9996,0.9863,0.9547,0,0,0,0,0,0,0,0,0,0,0,87.21188139915466
dass_stress.csv,dass,39775,700,10000,1,1,1,1,1,1,1,0.9963,1,1,1,0,0,0,0,0,0,0,0,0,0,0,113.45912528038023
dass_stress.csv,dass,39775,1400,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,158.3898310661316
mach_total.csv,mach,73486,10,10000,0.0463,0.0475,0.0476,0.0032,NA,0.0458,0.0392,0.0684,0.0359,0.1495,0.0345,0,0,0,0,10000,0,0,0,0,0,0,81.88211560249329
mach_total.csv,mach,73486,20,10000,0.0575,0.0581,0.0582,0.0036,0.0355,0.0593,0.0298,0.0526,0.0789,0.2474,0.0434,0,0,0,0,0,0,0,0,0,0,0,84.73030304908752
mach_total.csv,mach,73486,30,10000,0.0752,0.0807,0.0697,0.004,0.0615,0.0806,0.034,0.0674,0.1226,0.2693,0.0562,0,0,0,0,0,0,0,0,0,0,0,81.1899847984314
mach_total.csv,mach,73486,200,10000,0.7771,0.6267,0.5248,0.3604,0.8019,0.5402,0.5775,0.3993,0.8233,0.8085,0.6276,0,0,0,0,0,0,0,0,0,0,0,82.10031390190125
mach_total.csv,mach,73486,400,10000,0.9983,0.9641,0.9095,0.9676,0.9958,0.9163,0.9859,0.7869,0.9865,0.9814,0.9623,0,0,0,0,0,0,0,0,0,0,0,95.18664598464966
mach_total.csv,mach,73486,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134.12809705734253
mach_total.csv,mach,73486,2000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,198.47751426696777
riasec_artistic.csv,riasec,142869,10,10000,0.045,0.0461,0.0471,0.0022,NA,0.0457,0.033,0.0696,0.0366,0.1548,0.0265,0,0,0,0,10000,0,0,0,0,0,0,82.28803133964539
riasec_artistic.csv,riasec,142869,20,10000,0.0753,0.075,0.0617,0.0013,0.0439,0.0731,0.0352,0.0655,0.1033,0.2832,0.0504,0,0,0,0,0,0,0,0,0,0,0,84.30095624923706
riasec_artistic.csv,riasec,142869,30,10000,0.1204,0.1085,0.0887,7e-4,0.1056,0.0947,0.0439,0.087,0.2123,0.361,0.0703,0,0,0,0,0,0,0,0,0,0,0,82.67307615280151
riasec_artistic.csv,riasec,142869,80,10000,0.5542,0.3679,0.2774,0.0027,0.5832,0.2747,0.2753,0.2241,0.7318,0.6532,0.3265,0,0,0,0,0,0,0,0,0,0,0,76.63173055648804
